logtime,beam_current,beam_energy,integrated_current,integrated_colmn2.5Gev
2019-05-22 07:44:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 07:45:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 07:46:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:47:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:48:00.0,4.57,545.6444,5094.372,3376.474
2019-05-22 07:49:00.0,10.92,545.6513,5094.3726,3376.474
2019-05-22 07:50:00.0,19.18,545.6409,5094.3726,3376.474
2019-05-22 07:51:00.0,27.59,545.6587,5094.373,3376.474
2019-05-22 07:52:00.0,36.49,545.6496,5094.3735,3376.474
2019-05-22 07:53:00.0,45.1,545.6531,5094.374,3376.474
2019-05-22 07:54:00.0,55.47,545.63574,5094.375,3376.474
2019-05-22 07:55:00.0,64.03,545.64825,5094.376,3376.474
2019-05-22 07:56:00.0,73.48,545.64264,5094.3774,3376.474
2019-05-22 07:57:00.0,83.51,545.6461,5094.3784,3376.474
2019-05-22 07:58:00.0,92.65,545.6444,5094.38,3376.474
2019-05-22 07:59:00.0,101.99,545.6461,5094.382,3376.474
2019-05-22 08:00:00.0,108.17,545.6552,5094.3833,3376.474
2019-05-22 08:01:00.0,115.89,545.6565,5094.3853,3376.474
2019-05-22 08:02:00.0,123.63,545.6496,5094.387,3376.474
2019-05-22 08:03:00.0,131.38,545.64136,5094.389,3376.474
2019-05-22 08:04:00.0,138.8,545.64264,5094.3916,3376.474
2019-05-22 08:05:00.0,146.4,545.6569,5094.394,3376.474
2019-05-22 08:06:00.0,151.6,545.6409,5094.3965,3376.474
2019-05-22 08:07:00.0,150.64,545.686,5094.399,3376.474
2019-05-22 08:08:00.0,150.18,545.4594,5094.4014,3376.474
2019-05-22 08:09:00.0,149.51,545.7137,5094.404,3376.474
2019-05-22 08:10:00.0,148.85,545.59454,5094.4062,3376.474
2019-05-22 08:11:00.0,148.12,566.35516,5094.409,3376.474
2019-05-22 08:12:00.0,146.81,600.678,5094.4116,3376.474
2019-05-22 08:13:00.0,144.93,675.0872,5094.414,3376.474
2019-05-22 08:14:00.0,141.13,780.4798,5094.416,3376.474
2019-05-22 08:15:00.0,66.12,890.15735,5094.4185,3376.474
2019-05-22 08:16:00.0,66.02,1090.4451,5094.4194,3376.474
2019-05-22 08:17:00.0,65.93,1396.0051,5094.4204,3376.474
2019-05-22 08:18:00.0,65.84,1699.3219,5094.422,3376.474
2019-05-22 08:19:00.0,65.78,1985.064,5094.423,3376.474
2019-05-22 08:20:00.0,65.73,2238.2292,5094.424,3376.474
2019-05-22 08:21:00.0,65.69,2422.2224,5094.425,3376.474
2019-05-22 08:22:00.0,65.62,2499.8145,5094.4263,3376.4746
2019-05-22 08:23:00.0,65.6,2499.881,5094.4272,3376.4756
2019-05-22 08:24:00.0,65.57,2499.8748,5094.428,3376.4768
2019-05-22 08:25:00.0,65.54,2499.876,5094.429,3376.4778
2019-05-22 08:26:00.0,65.52,2499.8733,5094.4307,3376.479
2019-05-22 08:27:00.0,65.49,2499.8872,5094.4316,3376.48
2019-05-22 08:28:00.0,65.47,2499.871,5094.4326,3376.481
2019-05-22 08:29:00.0,65.44,2499.888,5094.4336,3376.4822
2019-05-22 08:30:00.0,20.83,2499.8726,5094.4346,3376.483
2019-05-22 08:31:00.0,0.07,0.0,5094.4346,3376.483
2019-05-22 08:32:00.0,0.13,0.0,5094.4346,3376.483
